term_code,term,course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
201902,Winter 2020,CIS 410,410,"Childs, Henry Roberts",45,2,25,6,2,3,0,2,5,0,0,0,0,0,33,5,7,0,0,3.564
201902,Winter 2020,CIS 413,413,"Wilson, Christopher",17,1,7,0,1,4,2,0,0,0,0,1,0,1,8,7,0,1,1,3.159
201902,Winter 2020,CIS 422,422,"Hornof, Anthony J",33,2,3,3,9,12,3,0,1,0,0,0,0,0,8,24,1,0,0,3.239
201902,Winter 2020,CIS 433,433,"Li, Jun",25,0,4,6,5,8,1,1,0,0,0,0,0,0,10,14,1,0,0,3.348
201902,Winter 2020,CIS 471,471,"Nguyen, Thanh Hong",21,0,9,5,4,1,2,0,0,0,0,0,0,0,14,7,0,0,0,3.624
201902,Winter 2020,CIS 472,472,"Lowd, Daniel Baruch",26,0,4,7,2,4,2,3,2,1,0,0,0,1,11,8,6,0,1,3.019
201902,Winter 2020,CIS 572,572,"Lowd, Daniel Baruch",11,2,3,3,1,0,1,0,1,0,0,0,0,0,8,2,1,0,0,3.555
201902,Winter 2020,CIS 621,621,"Wilson, Christopher",23,1,17,2,2,1,0,0,0,0,0,0,0,0,20,3,0,0,0,3.87
201903,Spring 2020,CIS 110,110,"Colbert, Phillip Dean",155,5,39,37,11,22,25,6,4,4,0,0,0,2,81,58,14,0,2,3.299
201903,Spring 2020,CIS 111,111,"Little, Ronald Kent",154,57,61,9,9,11,1,2,2,0,0,1,0,1,127,21,4,1,1,3.768
201903,Spring 2020,CIS 122,122,"Wilkins, David A",126,28,52,14,10,5,3,2,4,2,0,0,1,5,94,18,8,1,5,3.529
201903,Spring 2020,CIS 211,211,"Young, Michal Terry",75,6,39,10,3,13,3,0,0,0,0,0,0,1,55,19,0,0,1,3.653
201903,Spring 2020,CIS 212,212,"Sventek, Joseph Sherman",61,9,18,6,10,7,6,1,0,0,0,2,0,2,33,23,1,2,2,3.356
201903,Spring 2020,CIS 315,315,"Wilson, Christopher",51,3,25,10,3,4,2,2,2,0,0,0,0,0,38,9,4,0,0,3.625
201903,Spring 2020,CIS 322,322,"Durairajan, Ramakrishnan",24,1,3,4,5,5,4,0,1,1,0,0,0,0,8,14,2,0,0,3.2
201903,Spring 2020,CIS 330,330,"Choi, Jee Whan",31,2,5,2,7,4,6,1,3,1,0,0,0,0,9,17,5,0,0,3.119
201903,Spring 2020,CIS 399,399,"Sane, Sudhanshu Sanjay",15,0,6,3,0,2,4,0,0,0,0,0,0,0,9,6,0,0,0,3.46
201903,Spring 2020,CIS 410,410,"Li, Yingjiu",7,0,4,2,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,3.814
201903,Spring 2020,CIS 410,410,"Wills, Eric David",44,3,19,5,11,2,3,1,0,0,0,0,0,0,27,16,1,0,0,3.618
201903,Spring 2020,CIS 415,415,"Malony, Allen",22,0,7,2,1,2,3,2,1,3,0,1,0,0,9,6,6,1,0,2.977
201903,Spring 2020,CIS 422,422,"Hornof, Anthony J",27,0,8,4,4,8,2,1,0,0,0,0,0,0,12,14,1,0,0,3.396
201903,Spring 2020,CIS 425,425,"Ariola, Zena",45,9,8,13,3,5,2,0,2,3,0,0,0,0,30,10,5,0,0,3.456
201903,Spring 2020,CIS 472,472,"Nguyen, Thien Huu",8,2,3,0,0,2,1,0,0,0,0,0,0,0,5,3,0,0,0,3.588
201903,Spring 2020,CIS 572,572,"Nguyen, Thien Huu",11,2,3,0,2,3,1,0,0,0,0,0,0,0,5,6,0,0,0,3.482
201903,Spring 2020,CIS 630,630,"Rejaie, Reza",12,2,2,3,3,1,1,0,0,0,0,0,0,0,7,5,0,0,0,3.558
201904,Summer 2020,CIS 110,110,"Gowda, Nithin Krishna",32,1,17,5,1,1,1,2,4,0,0,0,0,0,23,3,6,0,0,3.503
201904,Summer 2020,CIS 111,111,"Little, Ronald Kent",37,5,14,7,2,5,0,1,2,0,0,0,0,1,26,7,3,0,1,3.508
201904,Summer 2020,CIS 122,122,"Guzman Nateras, Luis Fernando",32,2,8,11,5,4,0,0,0,0,0,0,1,1,21,9,0,1,1,3.434
201904,Summer 2020,CIS 399,399,"Augustine, Charles Martel",19,10,3,1,2,1,0,1,1,0,0,0,0,0,14,3,2,0,0,3.663
202001,Fall 2020,CIS 110,110,"Flores, Juan Jose",135,4,28,8,19,20,24,8,11,6,3,2,1,1,40,63,25,6,1,2.98
202001,Fall 2020,CIS 122,122,"Colbert, Phillip Dean",152,3,40,39,13,29,13,2,8,2,0,0,1,2,82,55,12,1,2,3.329
202001,Fall 2020,CIS 210,210,"Freeman Hennessy, Kathleen",134,10,34,17,13,26,7,6,8,2,1,3,0,7,61,46,16,4,7,3.106
202001,Fall 2020,CIS 212,212,"Sventek, Joseph Sherman",71,12,18,8,13,11,5,2,2,0,0,0,0,0,38,29,4,0,0,3.487
202001,Fall 2020,CIS 313,313,"Lowd, Daniel Baruch",65,3,11,13,14,10,7,3,1,1,0,0,0,2,27,31,5,0,2,3.228
202001,Fall 2020,CIS 314,314,"Wills, Eric David",63,4,17,17,6,11,6,0,1,0,0,0,1,0,38,23,1,1,0,3.47
202001,Fall 2020,CIS 322,322,"Durairajan, Ramakrishnan",26,1,3,2,1,4,8,1,2,2,0,0,2,0,6,13,5,2,0,2.746
202001,Fall 2020,CIS 415,415,"Malony, Allen",30,0,6,3,5,8,3,2,1,1,0,0,0,1,9,16,4,0,1,3.067
202001,Fall 2020,CIS 420,420,"Wilson, Christopher",14,3,5,1,2,3,0,0,0,0,0,0,0,0,9,5,0,0,0,3.664
202001,Fall 2020,CIS 422,422,"Young, Michal Terry",28,2,14,9,0,3,0,0,0,0,0,0,0,0,25,3,0,0,0,3.796
202001,Fall 2020,CIS 425,425,"Ariola, Zena",49,1,24,0,5,5,4,4,3,2,0,0,0,1,25,14,9,0,1,3.284
202001,Fall 2020,CIS 432,432,"Li, Jun",11,0,2,1,1,3,2,2,0,0,0,0,0,0,3,6,2,0,0,3.091
202001,Fall 2020,CIS 443,443,"Hornof, Anthony J",9,2,0,1,1,1,2,1,1,0,0,0,0,0,3,4,2,0,0,3.078
202001,Fall 2020,CIS 451,451,"Wilson, Christopher",31,3,14,6,6,2,0,0,0,0,0,0,0,0,23,8,0,0,0,3.742
202001,Fall 2020,CIS 471,471,"Nguyen, Thanh Hong",25,0,8,6,7,1,2,0,0,1,0,0,0,0,14,10,1,0,0,3.496
202001,Fall 2020,CIS 472,472,"Shi, Honghui",10,0,3,3,3,1,0,0,0,0,0,0,0,0,6,4,0,0,0,3.6
202001,Fall 2020,CIS 572,572,"Shi, Honghui",11,0,5,2,1,0,0,0,2,0,0,0,0,1,7,1,2,0,1,3.155
202001,Fall 2020,CIS 631,631,"Choi, Jee Whan",16,1,3,2,3,4,1,0,1,1,0,0,0,0,6,8,2,0,0,3.231
202002,Winter 2021,CIS 111,111,"Colbert, Phillip Dean",145,34,15,36,11,7,19,5,3,4,0,3,1,7,85,37,12,4,7,3.212
202002,Winter 2021,CIS 210,210,"Erickson, Brittany Angela",130,5,41,15,10,24,13,5,5,1,2,4,0,5,61,47,11,6,5,3.149
202002,Winter 2021,CIS 211,211,"Young, Michal Terry",97,4,63,0,3,10,0,0,10,0,0,7,0,0,67,13,10,7,0,3.453
202002,Winter 2021,CIS 313,313,"Nguyen, Thien Huu",61,1,12,8,7,10,11,2,7,0,1,0,0,2,21,28,9,1,2,3.021
202002,Winter 2021,CIS 314,314,"Wills, Eric David",64,4,18,16,2,10,9,1,0,2,0,0,0,2,38,21,3,0,2,3.341
202002,Winter 2021,CIS 315,315,"Jiao, Lei",59,2,4,4,13,16,6,5,4,2,2,1,0,0,10,35,11,3,0,2.922
202002,Winter 2021,CIS 330,330,"Choi, Jee Whan",51,3,2,6,8,11,5,5,7,1,1,0,0,2,11,24,13,1,2,2.816
202002,Winter 2021,CIS 399,399,"Li, Yingjiu",10,0,1,4,3,1,1,0,0,0,0,0,0,0,5,5,0,0,0,3.44
202002,Winter 2021,CIS 410,410,"Nguyen, Thien Huu",10,0,1,1,3,0,3,0,0,2,0,0,0,0,2,6,2,0,0,2.91
202002,Winter 2021,CIS 413,413,"Wilson, Christopher",19,2,4,3,7,1,1,0,1,0,0,0,0,0,9,9,1,0,0,3.468
202002,Winter 2021,CIS 422,422,"Flores, Juan Jose",40,2,13,6,7,9,3,0,0,0,0,0,0,0,21,19,0,0,0,3.51
202002,Winter 2021,CIS 433,433,"Li, Jun",37,0,4,7,14,8,1,0,1,0,1,1,0,0,11,23,1,2,0,3.219
202002,Winter 2021,CIS 471,471,"Nguyen, Thanh Hong",33,0,12,6,7,6,2,0,0,0,0,0,0,0,18,15,0,0,0,3.536
202002,Winter 2021,CIS 473,473,"Lowd, Daniel Baruch",22,1,3,3,3,2,3,3,1,2,0,0,0,1,7,8,6,0,1,2.882
