course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CIS 433,433,"Howell, Leo Foster",40,2,11,14,11,0,2,0,0,0,0,0,0,0,27,13,0,0,0,3.638
CIS 433,433,"Li, Jun",167,2,25,49,49,27,8,2,1,0,1,1,0,2,76,84,3,2,2,3.368
CIS 436,436,"Li, Yingjiu",27,0,10,7,4,2,3,0,0,0,0,0,0,1,17,9,0,0,1,3.452
CIS 441,441,"Childs, Henry Roberts",114,14,50,10,14,11,1,3,5,1,0,0,0,5,74,26,9,0,5,3.452
CIS 443,443,"Hornof, Anthony J",84,7,5,12,13,12,12,10,6,4,0,1,0,2,24,37,20,1,2,2.935
CIS 445,445,"Li, Jun",12,0,0,2,2,1,4,1,0,0,1,0,0,1,2,7,1,1,1,2.617
CIS 451,451,"Wilson, Christopher",269,10,140,42,30,28,8,5,4,1,0,1,0,0,192,66,10,1,0,3.651
CIS 452,452,"Dou, Dejing",17,0,9,3,2,3,0,0,0,0,0,0,0,0,12,5,0,0,0,3.688
CIS 453,453,"Dou, Dejing",46,2,13,9,15,3,0,2,0,0,1,1,0,0,24,18,2,2,0,3.45
CIS 454,454,"Conery, John",19,2,13,2,0,1,0,0,1,0,0,0,0,0,17,1,1,0,0,3.811
CIS 471,471,"Dou, Dejing",76,4,19,8,21,7,4,4,3,0,0,4,0,2,31,32,7,4,2,3.183
CIS 471,471,"Lowd, Daniel Baruch",21,0,5,1,3,4,2,1,1,1,1,1,1,0,6,9,3,3,0,2.857
CIS 471,471,"Nguyen, Thanh Hong",151,0,44,36,37,17,13,2,0,2,0,0,0,0,80,67,4,0,0,3.479
CIS 472,472,"Lowd, Daniel Baruch",88,1,14,15,11,18,6,8,5,2,2,1,0,5,30,35,15,3,5,2.925
CIS 472,472,"Nguyen, Thien Huu",72,5,24,8,8,7,10,0,4,4,0,0,0,2,37,25,8,0,2,3.261
CIS 472,472,"Shi, Honghui",28,2,5,8,7,6,0,0,0,0,0,0,0,0,15,13,0,0,0,3.525
CIS 473,473,"Lowd, Daniel Baruch",66,1,10,5,11,10,9,7,3,5,1,0,0,4,16,30,15,1,4,2.803
CIS 490,490,"Farley, Arthur Melvin",27,0,5,6,10,6,0,0,0,0,0,0,0,0,11,16,0,0,0,3.452
CIS 510,510,"Childs, Henry Roberts",8,2,4,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,0,3.662
CIS 510,510,"Fickas, Stephen F",8,5,0,1,1,1,0,0,0,0,0,0,0,0,6,2,0,0,0,3.75
CIS 510,510,"Nguyen, Thien Huu",11,0,3,4,0,2,1,0,1,0,0,0,0,0,7,3,1,0,0,3.409
CIS 531,531,"Norris, Boyana Radenska",15,1,8,2,1,1,1,0,0,0,0,0,0,1,11,3,0,0,1,3.493
CIS 533,533,"Li, Jun",11,0,3,3,4,0,0,0,0,0,0,0,0,1,6,4,0,0,1,3.3
CIS 561,561,"Young, Michal Terry",16,2,7,2,0,5,0,0,0,0,0,0,0,0,11,5,0,0,0,3.65
CIS 571,571,"Dou, Dejing",23,4,5,3,4,5,1,0,0,0,0,0,0,1,12,10,0,0,1,3.391
CIS 571,571,"Lowd, Daniel Baruch",19,1,5,4,3,2,2,1,0,1,0,0,0,0,10,7,2,0,0,3.374
CIS 571,571,"Nguyen, Thanh Hong",30,0,12,4,7,3,2,2,0,0,0,0,0,0,16,12,2,0,0,3.497
CIS 572,572,"Lowd, Daniel Baruch",50,4,15,12,6,7,4,0,1,0,0,0,1,0,31,17,1,1,0,3.494
CIS 572,572,"Nguyen, Thien Huu",26,5,6,2,4,6,3,0,0,0,0,0,0,0,13,13,0,0,0,3.488
CIS 572,572,"Shi, Honghui",33,8,15,4,1,0,0,0,3,0,0,0,0,2,27,1,3,0,2,3.518
CIS 573,573,"Lowd, Daniel Baruch",13,1,3,4,2,1,2,0,0,0,0,0,0,0,8,5,0,0,0,3.523
CIS 610,610,"Dou, Dejing",25,2,13,4,1,4,0,0,0,1,0,0,0,0,19,5,1,0,0,3.672
